Treatment,Subject,App package,Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
nappatfpr,nappatfpr.com.newsblur,com.newsblur,2,113113,2614396.432240921,994947.5828166519,994947.5828166519,31.004428697962798,1181173.313354364,1181173.313354364
nappatfpr,nappatfpr.com.newsblur,com.newsblur,3,112904,2386000.0,904931.71162378,904931.71162378,29.656282157166714,1125671.1247240617,1125671.1247240617
nappatfpr,nappatfpr.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,180996,2556775.8736842107,503249.3623268698,503249.3623268698,59.431245616592875,723220.62022293,723220.62022293
nappatfpr,nappatfpr.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,181155,2447236.425013835,1243441.4405091312,961765.160486995,58.18326014340713,1502942.2628762543,1162481.3678929766
nappatfpr,nappatfpr.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,181176,2514595.2717210846,829306.6397343663,829306.6397343663,59.57196403704587,1150082.1933998466,1150082.1933998466
nappatfpr,nappatfpr.io.github.project_travel_mate,io.github.project_travel_mate,1,135139,2666820.5218680506,599145.162342476,599145.162342476,36.80726464047443,705276.4607329842,705276.4607329842
nappatfpr,nappatfpr.io.github.project_travel_mate,io.github.project_travel_mate,2,133781,2574829.0786516853,971865.5850187266,971865.5850187266,33.655430711610485,1018399.180533752,1018399.180533752
nappatfpr,nappatfpr.io.github.project_travel_mate,io.github.project_travel_mate,3,134049,2669056.6576980567,648206.8819133034,648206.8819133034,34.57440103136779,948906.7921225383,948906.7921225383
baseline,baseline.io.github.project_travel_mate,io.github.project_travel_mate,1,143472,2657183.5167597765,1578745.8854748604,1574748.8854748604,29.34589763896258,1578745.8854748604,1574748.8854748604
baseline,baseline.io.github.project_travel_mate,io.github.project_travel_mate,2,134225,2664514.9006721433,202120.66542195668,202120.66542195668,35.102315160567585,333710.93834771885,333710.93834771885
baseline,baseline.io.github.project_travel_mate,io.github.project_travel_mate,3,135271,2580701.3155555557,1028035.6375506173,1028035.6375506173,36.014074074074074,1257108.7959178744,1257108.7959178744
nappagreedy,nappagreedy.org.quantumbadger.redreader,org.quantumbadger.redreader,1,159416,2422849.033312382,978893.0125707103,952276.0125707103,31.252042740414833,978893.0125707103,952276.0125707103
nappagreedy,nappagreedy.org.quantumbadger.redreader,org.quantumbadger.redreader,2,163770,2616879.2949816403,463801.6848225214,463801.6848225214,35.60929468500605,1218411.5,1218411.5
nappagreedy,nappagreedy.org.quantumbadger.redreader,org.quantumbadger.redreader,3,163753,2388837.4320685435,975332.5813953489,85159.37515299878,35.68461615097777,1204605.7732426303,105177.9433106576
nappagreedy,nappagreedy.com.ak.uobtimetable,com.ak.uobtimetable,1,68305,2423180.9576371033,722801.4386572184,722801.4386572184,33.81818181818182,1190701.8868701037,1190701.8868701037
nappagreedy,nappagreedy.com.ak.uobtimetable,com.ak.uobtimetable,2,67899,2452202.162481536,1948986.94239291,1948986.94239291,32.8109305760709,2128168.0,2128168.0
nappagreedy,nappagreedy.com.ak.uobtimetable,com.ak.uobtimetable,3,67595,2442968.2611275963,1370770.491097923,422820.49109792284,30.764094955489615,1370770.491097923,422820.49109792284
nappatfpr,nappatfpr.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,1,156275,2413011.5897435895,451034.49935897434,94356.26346153846,32.06666666666667,1120404.1703821656,234388.1703821656
nappatfpr,nappatfpr.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,2,155564,2448066.9542820347,583767.2710882163,583767.2710882163,30.84674822923374,656473.9840695148,656473.9840695148
nappatfpr,nappatfpr.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,3,153625,2511640.600130463,412200.1454664057,412200.1454664057,27.708212752793617,651446.2092783505,651446.2092783505
baseline,baseline.org.quantumbadger.redreader,org.quantumbadger.redreader,1,154639,2606086.753078419,725795.1004536618,725795.1004536618,26.165262475696696,1201611.4163090128,1201611.4163090128
baseline,baseline.org.quantumbadger.redreader,org.quantumbadger.redreader,2,163627,2638997.367647059,652286.0006127451,652286.0006127451,34.94975490196079,1352643.9047013978,1352643.9047013978
baseline,baseline.org.quantumbadger.redreader,org.quantumbadger.redreader,3,163129,2501987.776412776,905996.6529484029,348298.85503685503,34.152334152334156,2122248.274820144,815871.2748201439
nappatfpr,nappatfpr.org.quantumbadger.redreader,org.quantumbadger.redreader,1,165447,2543630.1175045427,975276.1732283465,975276.1732283465,39.839379323729055,1336249.7609958507,1336249.7609958507
nappatfpr,nappatfpr.org.quantumbadger.redreader,org.quantumbadger.redreader,2,163256,2567265.4069981584,791646.7857581339,791646.7857581339,35.75920028368569,923115.6864710093,923115.6864710093
nappatfpr,nappatfpr.org.quantumbadger.redreader,org.quantumbadger.redreader,3,164059,2371237.56627978,580996.7599640118,580996.7599640118,36.00548778644727,1574655.1259289526,1574655.1259289526
nappagreedy,nappagreedy.com.newsblur,com.newsblur,1,107624,2499914.9804651164,1130175.136744186,1130175.136744186,19.72279069767442,1807943.857142857,1807943.857142857
nappagreedy,nappagreedy.com.newsblur,com.newsblur,2,113521,2629796.190644307,1072728.637246249,1072728.637246249,31.663402895872757,1340023.7552370452,1340023.7552370452
nappagreedy,nappagreedy.com.newsblur,com.newsblur,3,113102,2490963.341009743,852343.9539415411,408036.3188662533,30.08237378210806,1043705.3405639913,499645.34056399134
