RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",7287084,2,1,1,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43281,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",15272083,2,1,1,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60677,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",10835781,2,1,1,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",7704427,2,1,1,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65000,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",951562,0,1,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",7862916,2,1,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50260,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",8469323,2,1,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",35782,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",6560052,2,1,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51146,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61407,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43802,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",5016302,2,1,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",7152031,2,1,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51354,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",568073,0,3,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",483698,0,2,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",321146,0,1,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",7022239,2,1,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",41354,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",6736667,2,1,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50053,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",256458,0,1,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",5208698,2,1,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43542,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",6297604,2,1,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55052,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",5461459,2,1,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",11126302,2,1,1,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57656,0,0,0,True
